,panda,our,nodes,lines,total demand,total capacity,gen error,phase error,objective error,flow error,both up,both down,obj error,our L
88,1,1,8,13,660,1050,3.41E-13,4.16E-16,2.91E-11,7.39E-13,1,0,0,0
89,1,1,11,21,1080,3000,-2.27E-13,5.44E-09,0.000182107,1.06E-05,1,0,0,0
90,1,1,10,17,1080,1650,0,2.37E-09,2.21E-05,4.54E-06,1,0,0,0
91,1,1,7,12,620,4050,0,2.10E-08,0.000174306,3.67E-05,1,0,0,0
92,1,1,10,14,1040,3450,-120,,-9839.999794,5.87E-05,1,0,1,0
93,1,1,10,13,840,1650,-4.55E-13,1.766305737,-1339.783419,495.2640009,1,0,1,0
94,1,1,10,16,1040,2100,-940,,-89300,1290.046882,1,0,1,0
95,1,1,11,22,1000,4050,-1.14E-13,4.51E-09,9.23E-05,9.22E-06,1,0,0,0
96,0,0,11,21,1160,750,-1,-1,-1,-1,0,1,1,0
97,1,1,6,14,600,2400,0,4.09E-10,4.26E-05,1.77E-06,1,0,0,0
98,1,1,7,13,680,1050,2.27E-13,1.67E-16,7.28E-12,7.67E-13,1,0,0,0
99,1,1,11,24,980,1800,-7.96E-13,8.56E-09,4.46E-05,5.93E-06,1,0,0,0
100,1,1,8,11,660,1650,0,1.90E-09,2.53E-05,1.20E-06,1,0,0,0
101,1,1,9,21,960,1200,0,3.61E-16,0,1.04E-12,1,0,0,0
102,1,1,8,16,760,1950,1.14E-13,7.46E-10,2.60E-05,1.39E-06,1,0,0,0
103,1,1,7,13,680,3900,0,1.20E-08,2.70E-05,8.30E-06,1,0,0,0
104,1,1,10,13,960,1800,0,1.48E-08,3.04E-05,5.85E-06,1,0,0,0
105,1,1,9,21,760,1950,1.14E-13,1.99E-09,8.86E-05,3.54E-06,1,0,0,0
106,1,1,9,15,820,1050,1.14E-13,1.94E-16,9.09E-13,3.84E-13,1,0,0,0
107,1,1,9,14,980,1950,0,9.16E-09,5.70E-05,8.97E-06,1,0,0,0
108,1,1,9,18,780,3750,1.14E-13,2.21E-09,7.62E-05,8.36E-06,1,0,0,0
109,1,1,7,10,760,4200,-1.14E-13,4.27E-09,0.000165456,5.75E-06,1,0,0,0
110,1,1,6,11,620,3000,0,1.94E-10,2.34E-05,7.64E-07,1,0,0,0
111,1,1,8,11,900,1950,-1.14E-13,1.71E-08,0.000396067,2.18E-05,1,0,0,0
112,1,1,8,16,860,3450,0,1.31E-09,7.10E-05,3.61E-06,1,0,0,0
113,1,1,10,19,1040,2700,4.55E-13,1.41E-09,4.69E-05,5.27E-06,1,0,0,0
114,1,1,6,10,620,2250,3.41E-13,7.18E-10,2.16E-05,9.34E-07,1,0,0,0
115,1,1,11,23,1080,1650,4.55E-13,7.77E-10,2.40E-05,1.06E-06,1,0,0,0
116,1,1,11,15,1160,2700,-4.55E-13,0.615569985,3.40E-05,391.5519857,1,0,0,0
117,1,1,11,16,1120,1950,2.27E-13,2.79E-07,0.000154928,0.000235543,1,0,0,0
118,1,1,11,15,1320,3000,-140,,-12459.99997,2.61E-06,1,0,1,0
119,0,0,10,17,1120,1050,-1,-1,-1,-1,0,1,1,0
120,1,0,10,13,1000,1050,-1,-1,-1,-1,0,0,1,1
121,1,1,7,12,600,2850,2.27E-13,1.07E-09,2.63E-05,1.38E-06,1,0,0,0
122,1,1,11,20,1060,2250,-2.27E-13,1.59E-09,3.96E-05,1.63E-06,1,0,0,0
123,1,1,9,19,880,1950,-1.14E-13,3.21E-09,9.73E-05,6.26E-06,1,0,0,0
124,1,1,11,25,920,3000,2.27E-13,1.05E-08,0.000284894,1.72E-05,1,0,0,0
125,1,1,7,14,720,3450,1.14E-13,3.70E-10,7.03E-05,1.59E-06,1,0,0,0
126,1,1,7,14,660,2100,-2.27E-13,5.40E-09,0.000145162,6.85E-06,1,0,0,0
127,1,1,9,20,900,1050,3.41E-13,4.02E-16,2.18E-11,9.52E-13,1,0,0,0
128,1,1,7,16,600,2700,1.14E-13,1.65E-09,0.000114132,3.63E-06,1,0,0,0
129,1,1,7,13,800,1050,1.14E-13,1.53E-16,9.09E-13,3.11E-13,1,0,0,0
130,1,0,10,19,1000,1950,-1,-1,-1,-1,0,0,1,1
131,1,1,6,9,620,1650,0,1.66E-09,6.53E-05,4.10E-06,1,0,0,0
132,0,0,11,18,1140,900,-1,-1,-1,-1,0,1,1,0
133,1,1,10,22,1000,2250,-1.14E-13,1.05E-09,2.64E-05,2.56E-06,1,0,0,0
134,1,1,7,10,700,750,1.14E-13,1.94E-16,9.09E-13,2.95E-13,1,0,0,0
135,1,1,7,17,760,1200,1.14E-13,8.33E-17,7.28E-12,5.54E-13,1,0,0,0
136,1,1,11,23,1060,1800,0,5.49E-09,4.76E-05,5.63E-06,1,0,0,0
137,1,1,11,22,1100,2400,0,1.38E-08,0.000134551,1.43E-05,1,0,0,0
138,1,1,9,13,840,4050,4.55E-13,4.78E-09,3.18E-05,2.58E-06,1,0,0,0
139,1,1,10,17,1020,1800,-1.14E-13,1.65E-08,0.000173337,1.22E-05,1,0,0,0
140,1,0,11,18,1100,1200,-1,-1,-1,-1,0,0,1,1
141,1,1,8,17,820,2700,1.14E-13,4.54E-09,0.000138482,1.15E-05,1,0,0,0
142,1,1,6,9,640,3000,1.14E-13,8.42E-10,4.64E-05,1.80E-06,1,0,0,0
143,1,1,10,14,1020,3000,-2.27E-13,2.34E-08,0.000197125,2.59E-05,1,0,0,0
144,1,1,8,13,680,1200,2.27E-13,1.04E-16,1.46E-11,2.28E-13,1,0,0,0
145,0,0,11,14,1240,1050,-1,-1,-1,-1,0,1,1,0
146,1,0,10,16,940,1800,-1,-1,-1,-1,0,0,1,1
147,1,1,9,12,820,3150,-2.27E-13,6.12E-09,0.000103307,5.46E-06,1,0,0,0
148,1,1,7,17,760,2700,0,7.47E-10,5.92E-05,1.75E-06,1,0,0,0
149,1,1,7,12,560,1200,0,9.71E-17,0,4.55E-13,1,0,0,0
150,1,1,8,15,760,3300,0,3.30E-09,7.45E-05,1.16E-05,1,0,0,0
151,1,1,6,13,440,4200,0,8.87E-11,3.46E-05,4.96E-07,1,0,0,0
152,1,1,10,15,1000,3750,5.68E-13,1.17E-08,0.000157789,1.19E-05,1,0,0,0
153,1,1,11,21,1140,4050,0,6.72E-09,0.000207292,1.24E-05,1,0,0,0
154,1,1,10,21,1000,1200,1.14E-12,3.75E-15,5.82E-11,3.35E-12,1,0,0,0
155,1,1,6,14,700,1200,-2.27E-13,1.53E-16,-5.46E-12,2.70E-13,1,0,0,0
156,1,0,10,15,920,1050,-1,-1,-1,-1,0,0,1,1
157,1,1,8,19,840,1050,0,1.53E-16,0,6.54E-13,1,0,0,0
158,1,1,10,21,940,1500,2.27E-13,2.28E-09,6.70E-05,5.08E-06,1,0,0,0
159,1,1,11,25,1020,2400,1.14E-11,0.041510814,0.000101235,126.3333692,1,0,0,0
160,1,1,8,16,880,3300,0,5.14E-10,4.74E-05,1.11E-06,1,0,0,0
161,1,1,6,9,600,2700,1.14E-13,6.64E-08,0.000116425,0.000103421,1,0,0,0
162,1,1,7,10,720,2100,0,4.39E-09,0.000150052,6.85E-06,1,0,0,0
163,1,1,7,17,680,4350,1.14E-13,8.40E-10,3.54E-05,2.37E-06,1,0,0,0
164,1,1,9,14,940,4350,0,6.46E-09,0.000143073,7.61E-06,1,0,0,0
165,1,1,7,16,660,1650,0,2.99E-09,3.81E-05,3.75E-06,1,0,0,0
166,1,1,6,13,620,2400,0,1.05E-09,7.76E-05,2.35E-06,1,0,0,0
167,1,1,6,14,580,900,0,1.04E-16,0,4.12E-13,1,0,0,0
168,1,1,9,17,860,900,1.14E-13,6.80E-16,7.28E-12,1.88E-12,1,0,0,0
169,1,1,11,21,1080,2850,1.14E-12,5.20E-09,7.67E-05,3.99E-06,1,0,0,0
170,1,1,6,13,500,3450,0,6.65E-10,2.04E-05,1.49E-06,1,0,0,0
171,1,1,7,16,680,2400,1.14E-13,4.03E-09,0.000130546,8.44E-06,1,0,0,0
172,0,0,9,18,1020,900,-1,-1,-1,-1,0,1,1,0
173,1,1,11,24,1100,3300,-6.82E-13,8.59E-09,7.98E-05,2.80E-05,1,0,0,0
174,1,1,8,18,780,900,6.82E-13,1.03E-15,5.09E-11,1.65E-12,1,0,0,0
175,1,1,8,11,740,3750,-1.14E-13,8.29E-09,0.000111924,1.50E-05,1,0,0,0
176,1,1,9,12,900,3150,1.14E-13,2.16E-09,0.000106667,4.60E-06,1,0,0,0
177,1,1,10,20,1000,1950,1.14E-13,1.78E-09,3.14E-05,2.63E-06,1,0,0,0
178,1,1,9,12,960,3450,1.14E-13,2.15E-08,0.0002517,3.46E-05,1,0,0,0
179,0,0,11,19,1080,750,-1,-1,-1,-1,0,1,1,0
180,1,1,9,16,1020,3150,1.14E-13,4.62E-10,3.65E-05,1.28E-06,1,0,0,0
181,1,1,6,13,600,2400,-1.14E-13,3.60E-09,6.28E-05,1.90E-05,1,0,0,0
182,1,1,11,23,1100,4200,-2.27E-13,1.76E-08,0.000267677,3.76E-05,1,0,0,0
183,1,1,10,16,940,2250,-2.27E-13,4.30E-09,7.33E-05,5.61E-06,1,0,0,0
184,1,1,6,11,720,3900,1.14E-13,2.39E-09,9.03E-05,6.11E-06,1,0,0,0
185,1,0,9,14,960,3300,-1,-1,-1,-1,0,0,1,1
186,1,1,6,9,640,1050,0,6.94E-17,0,1.56E-13,1,0,0,0
